Day,List 1,List 2,List 3,List 4,List 5,List 6,List 7,List 8,List 9,List 10
1,Matt 1,Gen 1,Rom 1,1 Thes 1,Job 1,Ps 1,Prov 1,Joshua 1,Isaiah 1,Acts 1
2,Matt 2,Gen 2,Rom 2,1 Thes 2,Job 2,Ps 2,Prov 2,Joshua 2,Isaiah 2,Acts 2
3,Matt 3,Gen 3,Rom 3,1 Thes 3,Job 3,Ps 3,Prov 3,Joshua 3,Isaiah 3,Acts 3
4,Matt 4,Gen 4,Rom 4,1 Thes 4,Job 4,Ps 4,Prov 4,Joshua 4,Isaiah 4,Acts 4
5,Matt 5,Gen 5,Rom 5,1 Thes 5,Job 5,Ps 5,Prov 5,Joshua 5,Isaiah 5,Acts 5
6,Matt 6,Gen 6,Rom 6,2 Thes 1,Job 6,Ps 6,Prov 6,Joshua 6,Isaiah 6,Acts 6
7,Matt 7,Gen 7,Rom 7,2 Thes 2,Job 7,Ps 7,Prov 7,Joshua 7,Isaiah 7,Acts 7
8,Matt 8,Gen 8,Rom 8,2 Thes 3,Job 8,Ps 8,Prov 8,Joshua 8,Isaiah 8,Acts 8
9,Matt 9,Gen 9,Rom 9,1 Tim 1,Job 9,Ps 9,Prov 9,Joshua 9,Isaiah 9,Acts 9
10,Matt 10,Gen 10,Rom 10,1 Tim 2,Job 10,Ps 10,Prov 10,Joshua 10,Isaiah 10,Acts 10
11,Matt 11,Gen 11,Rom 11,1 Tim 3,Job 11,Ps 11,Prov 11,Joshua 11,Isaiah 11,Acts 11
12,Matt 12,Gen 12,Rom 12,1 Tim 4,Job 12,Ps 12,Prov 12,Joshua 12,Isaiah 12,Acts 12
13,Matt 13,Gen 13,Rom 13,1 Tim 5,Job 13,Ps 13,Prov 13,Joshua 13,Isaiah 13,Acts 13
14,Matt 14,Gen 14,Rom 14,1 Tim 6,Job 14,Ps 14,Prov 14,Joshua 14,Isaiah 14,Acts 14
15,Matt 15,Gen 15,Rom 15,2 Tim 1,Job 15,Ps 15,Prov 15,Joshua 15,Isaiah 15,Acts 15
16,Matt 16,Gen 16,Rom 16,2 Tim 2,Job 16,Ps 16,Prov 16,Joshua 16,Isaiah 16,Acts 16
17,Matt 17,Gen 17,1 Cor 1,2 Tim 3,Job 17,Ps 17,Prov 17,Joshua 17,Isaiah 17,Acts 17
18,Matt 18,Gen 18,1 Cor 2,2 Tim 4,Job 18,Ps 18,Prov 18,Joshua 18,Isaiah 18,Acts 18
19,Matt 19,Gen 19,1 Cor 3,Titus 1,Job 19,Ps 19,Prov 19,Joshua 19,Isaiah 19,Acts 19
20,Matt 20,Gen 20,1 Cor 4,Titus 2,Job 20,Ps 20,Prov 20,Joshua 20,Isaiah 20,Acts 20
21,Matt 21,Gen 21,1 Cor 5,Titus 3,Job 21,Ps 21,Prov 21,Joshua 21,Isaiah 21,Acts 21
22,Matt 22,Gen 22,1 Cor 6,Philemon 1,Job 22,Ps 22,Prov 22,Joshua 22,Isaiah 22,Acts 22
23,Matt 23,Gen 23,1 Cor 7,James 1,Job 23,Ps 23,Prov 23,Joshua 23,Isaiah 23,Acts 23
